INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C5_R2-C7_R3-C7.txt

Stacking Case (types read from header)
-------------------------------------
R1: C5 — m odd > 3, n = 2
R2: C7 — m odd > 3, n = 2
R3: C7 — m even > 2, n odd > 3

Example 1
  R1: m=5, n=2
  R2: m=7, n=2
  R3: m=8, n=5
  #Solutions: 124
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
     26. R3[1->6], R2[6->0], R1[0->4]
     27. R3[1->6], R2[6->2], R1[2->0]
     28. R3[1->6], R2[6->2], R1[2->4]
     29. R3[1->6], R2[6->4], R1[4->0]
     30. R3[1->6], R2[6->4], R1[4->2]
     31. R3[1->6], R2[6->4], R1[4->4]
     32. R3[2->1], R2[1->3], R1[3->1]
     33. R3[2->3], R2[3->1], R1[1->3]
     34. R3[2->5], R2[5->1], R1[1->3]
     35. R3[2->5], R2[5->3], R1[3->1]
     36. R3[3->0], R2[0->0], R1[0->0]
     37. R3[3->0], R2[0->0], R1[0->2]
     38. R3[3->0], R2[0->0], R1[0->4]
     39. R3[3->0], R2[0->2], R1[2->0]
     40. R3[3->0], R2[0->2], R1[2->4]
     41. R3[3->0], R2[0->4], R1[4->0]
     42. R3[3->0], R2[0->4], R1[4->2]
     43. R3[3->0], R2[0->4], R1[4->4]
     44. R3[3->2], R2[2->0], R1[0->0]
     45. R3[3->2], R2[2->0], R1[0->2]
     46. R3[3->2], R2[2->0], R1[0->4]
     47. R3[3->2], R2[2->4], R1[4->0]
     48. R3[3->2], R2[2->4], R1[4->2]
     49. R3[3->2], R2[2->4], R1[4->4]
     50. R3[3->4], R2[4->0], R1[0->0]
     51. R3[3->4], R2[4->0], R1[0->2]
     52. R3[3->4], R2[4->0], R1[0->4]
     53. R3[3->4], R2[4->2], R1[2->0]
     54. R3[3->4], R2[4->2], R1[2->4]
     55. R3[3->6], R2[6->0], R1[0->0]
     56. R3[3->6], R2[6->0], R1[0->2]
     57. R3[3->6], R2[6->0], R1[0->4]
     58. R3[3->6], R2[6->2], R1[2->0]
     59. R3[3->6], R2[6->2], R1[2->4]
     60. R3[3->6], R2[6->4], R1[4->0]
     61. R3[3->6], R2[6->4], R1[4->2]
     62. R3[3->6], R2[6->4], R1[4->4]
     63. R3[4->1], R2[1->3], R1[3->1]
     64. R3[4->3], R2[3->1], R1[1->3]
     65. R3[4->5], R2[5->1], R1[1->3]
     66. R3[4->5], R2[5->3], R1[3->1]
     67. R3[5->0], R2[0->0], R1[0->0]
     68. R3[5->0], R2[0->0], R1[0->2]
     69. R3[5->0], R2[0->0], R1[0->4]
     70. R3[5->0], R2[0->2], R1[2->0]
     71. R3[5->0], R2[0->2], R1[2->4]
     72. R3[5->0], R2[0->4], R1[4->0]
     73. R3[5->0], R2[0->4], R1[4->2]
     74. R3[5->0], R2[0->4], R1[4->4]
     75. R3[5->2], R2[2->0], R1[0->0]
     76. R3[5->2], R2[2->0], R1[0->2]
     77. R3[5->2], R2[2->0], R1[0->4]
     78. R3[5->2], R2[2->4], R1[4->0]
     79. R3[5->2], R2[2->4], R1[4->2]
     80. R3[5->2], R2[2->4], R1[4->4]
     81. R3[5->4], R2[4->0], R1[0->0]
     82. R3[5->4], R2[4->0], R1[0->2]
     83. R3[5->4], R2[4->0], R1[0->4]
     84. R3[5->4], R2[4->2], R1[2->0]
     85. R3[5->4], R2[4->2], R1[2->4]
     86. R3[5->6], R2[6->0], R1[0->0]
     87. R3[5->6], R2[6->0], R1[0->2]
     88. R3[5->6], R2[6->0], R1[0->4]
     89. R3[5->6], R2[6->2], R1[2->0]
     90. R3[5->6], R2[6->2], R1[2->4]
     91. R3[5->6], R2[6->4], R1[4->0]
     92. R3[5->6], R2[6->4], R1[4->2]
     93. R3[5->6], R2[6->4], R1[4->4]
     94. R3[6->1], R2[1->3], R1[3->1]
     95. R3[6->3], R2[3->1], R1[1->3]
     96. R3[6->5], R2[5->1], R1[1->3]
     97. R3[6->5], R2[5->3], R1[3->1]
     98. R3[7->0], R2[0->0], R1[0->0]
     99. R3[7->0], R2[0->0], R1[0->2]
    100. R3[7->0], R2[0->0], R1[0->4]
    101. R3[7->0], R2[0->2], R1[2->0]
    102. R3[7->0], R2[0->2], R1[2->4]
    103. R3[7->0], R2[0->4], R1[4->0]
    104. R3[7->0], R2[0->4], R1[4->2]
    105. R3[7->0], R2[0->4], R1[4->4]
    106. R3[7->2], R2[2->0], R1[0->0]
    107. R3[7->2], R2[2->0], R1[0->2]
    108. R3[7->2], R2[2->0], R1[0->4]
    109. R3[7->2], R2[2->4], R1[4->0]
    110. R3[7->2], R2[2->4], R1[4->2]
    111. R3[7->2], R2[2->4], R1[4->4]
    112. R3[7->4], R2[4->0], R1[0->0]
    113. R3[7->4], R2[4->0], R1[0->2]
    114. R3[7->4], R2[4->0], R1[0->4]
    115. R3[7->4], R2[4->2], R1[2->0]
    116. R3[7->4], R2[4->2], R1[2->4]
    117. R3[7->6], R2[6->0], R1[0->0]
    118. R3[7->6], R2[6->0], R1[0->2]
    119. R3[7->6], R2[6->0], R1[0->4]
    120. R3[7->6], R2[6->2], R1[2->0]
    121. R3[7->6], R2[6->2], R1[2->4]
    122. R3[7->6], R2[6->4], R1[4->0]
    123. R3[7->6], R2[6->4], R1[4->2]
    124. R3[7->6], R2[6->4], R1[4->4]
    125. R3[8->1], R2[1->3], R1[3->1]
    126. R3[8->3], R2[3->1], R1[1->3]
    127. R3[8->5], R2[5->1], R1[1->3]
    128. R3[8->5], R2[5->3], R1[3->1]
    129. R3[9->0], R2[0->0], R1[0->0]
    130. R3[9->0], R2[0->0], R1[0->2]
    131. R3[9->0], R2[0->0], R1[0->4]
    132. R3[9->0], R2[0->2], R1[2->0]
    133. R3[9->0], R2[0->2], R1[2->4]
    134. R3[9->0], R2[0->4], R1[4->0]
    135. R3[9->0], R2[0->4], R1[4->2]
    136. R3[9->0], R2[0->4], R1[4->4]
    137. R3[9->2], R2[2->0], R1[0->0]
    138. R3[9->2], R2[2->0], R1[0->2]
    139. R3[9->2], R2[2->0], R1[0->4]
    140. R3[9->2], R2[2->4], R1[4->0]
    141. R3[9->2], R2[2->4], R1[4->2]
    142. R3[9->2], R2[2->4], R1[4->4]
    143. R3[9->4], R2[4->0], R1[0->0]
    144. R3[9->4], R2[4->0], R1[0->2]
    145. R3[9->4], R2[4->0], R1[0->4]
    146. R3[9->4], R2[4->2], R1[2->0]
    147. R3[9->4], R2[4->2], R1[2->4]
    148. R3[9->6], R2[6->0], R1[0->0]
    149. R3[9->6], R2[6->0], R1[0->2]
    150. R3[9->6], R2[6->0], R1[0->4]
    151. R3[9->6], R2[6->2], R1[2->0]
    152. R3[9->6], R2[6->2], R1[2->4]
    153. R3[9->6], R2[6->4], R1[4->0]
    154. R3[9->6], R2[6->4], R1[4->2]
