INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C8_R2-C2_R3-C8.txt

Stacking Case (types read from header)
-------------------------------------
R1: C8 — m odd > 3, n even > 2
R2: C2 — m even > 2, n = 2
R3: C8 — m odd > 3, n even > 2

Example 1
  R1: m=5, n=4
  R2: m=6, n=2
  R3: m=7, n=4
  #Solutions: 108
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
     85. R3[4->0], R2[0->0], R1[0->0]
     86. R3[4->0], R2[0->0], R1[0->2]
     87. R3[4->0], R2[0->0], R1[0->4]
     88. R3[4->0], R2[0->2], R1[2->0]
     89. R3[4->0], R2[0->2], R1[2->2]
     90. R3[4->0], R2[0->2], R1[2->4]
     91. R3[4->0], R2[0->4], R1[4->0]
     92. R3[4->0], R2[0->4], R1[4->2]
     93. R3[4->0], R2[0->4], R1[4->4]
     94. R3[4->2], R2[2->0], R1[0->0]
     95. R3[4->2], R2[2->0], R1[0->2]
     96. R3[4->2], R2[2->0], R1[0->4]
     97. R3[4->2], R2[2->4], R1[4->0]
     98. R3[4->2], R2[2->4], R1[4->2]
     99. R3[4->2], R2[2->4], R1[4->4]
    100. R3[4->4], R2[4->0], R1[0->0]
    101. R3[4->4], R2[4->0], R1[0->2]
    102. R3[4->4], R2[4->0], R1[0->4]
    103. R3[4->4], R2[4->2], R1[2->0]
    104. R3[4->4], R2[4->2], R1[2->2]
    105. R3[4->4], R2[4->2], R1[2->4]
    106. R3[4->6], R2[6->0], R1[0->0]
    107. R3[4->6], R2[6->0], R1[0->2]
    108. R3[4->6], R2[6->0], R1[0->4]
    109. R3[4->6], R2[6->2], R1[2->0]
    110. R3[4->6], R2[6->2], R1[2->2]
    111. R3[4->6], R2[6->2], R1[2->4]
    112. R3[4->6], R2[6->4], R1[4->0]
    113. R3[4->6], R2[6->4], R1[4->2]
    114. R3[4->6], R2[6->4], R1[4->4]
    115. R3[5->1], R2[1->3], R1[3->1]
    116. R3[5->1], R2[1->3], R1[3->3]
    117. R3[5->3], R2[3->1], R1[1->1]
    118. R3[5->3], R2[3->1], R1[1->3]
    119. R3[5->5], R2[5->1], R1[1->1]
    120. R3[5->5], R2[5->1], R1[1->3]
    121. R3[5->5], R2[5->3], R1[3->1]
    122. R3[5->5], R2[5->3], R1[3->3]
    123. R3[5->7], R2[7->1], R1[1->1]
    124. R3[5->7], R2[7->1], R1[1->3]
    125. R3[5->7], R2[7->3], R1[3->1]
    126. R3[5->7], R2[7->3], R1[3->3]
    127. R3[6->0], R2[0->0], R1[0->0]
    128. R3[6->0], R2[0->0], R1[0->2]
    129. R3[6->0], R2[0->0], R1[0->4]
    130. R3[6->0], R2[0->2], R1[2->0]
    131. R3[6->0], R2[0->2], R1[2->2]
    132. R3[6->0], R2[0->2], R1[2->4]
    133. R3[6->0], R2[0->4], R1[4->0]
    134. R3[6->0], R2[0->4], R1[4->2]
    135. R3[6->0], R2[0->4], R1[4->4]
    136. R3[6->2], R2[2->0], R1[0->0]
    137. R3[6->2], R2[2->0], R1[0->2]
    138. R3[6->2], R2[2->0], R1[0->4]
    139. R3[6->2], R2[2->4], R1[4->0]
    140. R3[6->2], R2[2->4], R1[4->2]
    141. R3[6->2], R2[2->4], R1[4->4]
    142. R3[6->4], R2[4->0], R1[0->0]
    143. R3[6->4], R2[4->0], R1[0->2]
    144. R3[6->4], R2[4->0], R1[0->4]
    145. R3[6->4], R2[4->2], R1[2->0]
    146. R3[6->4], R2[4->2], R1[2->2]
    147. R3[6->4], R2[4->2], R1[2->4]
    148. R3[6->6], R2[6->0], R1[0->0]
    149. R3[6->6], R2[6->0], R1[0->2]
    150. R3[6->6], R2[6->0], R1[0->4]
    151. R3[6->6], R2[6->2], R1[2->0]
    152. R3[6->6], R2[6->2], R1[2->2]
    153. R3[6->6], R2[6->2], R1[2->4]
    154. R3[6->6], R2[6->4], R1[4->0]
    155. R3[6->6], R2[6->4], R1[4->2]
    156. R3[6->6], R2[6->4], R1[4->4]
    157. R3[7->1], R2[1->3], R1[3->1]
    158. R3[7->1], R2[1->3], R1[3->3]
    159. R3[7->3], R2[3->1], R1[1->1]
    160. R3[7->3], R2[3->1], R1[1->3]
    161. R3[7->5], R2[5->1], R1[1->1]
    162. R3[7->5], R2[5->1], R1[1->3]
    163. R3[7->5], R2[5->3], R1[3->1]
    164. R3[7->5], R2[5->3], R1[3->3]
    165. R3[7->7], R2[7->1], R1[1->1]
    166. R3[7->7], R2[7->1], R1[1->3]
    167. R3[7->7], R2[7->3], R1[3->1]
    168. R3[7->7], R2[7->3], R1[3->3]
    169. R3[8->0], R2[0->0], R1[0->0]
    170. R3[8->0], R2[0->0], R1[0->2]
    171. R3[8->0], R2[0->0], R1[0->4]
    172. R3[8->0], R2[0->2], R1[2->0]
    173. R3[8->0], R2[0->2], R1[2->2]
    174. R3[8->0], R2[0->2], R1[2->4]
    175. R3[8->0], R2[0->4], R1[4->0]
    176. R3[8->0], R2[0->4], R1[4->2]
    177. R3[8->0], R2[0->4], R1[4->4]
    178. R3[8->2], R2[2->0], R1[0->0]
    179. R3[8->2], R2[2->0], R1[0->2]
    180. R3[8->2], R2[2->0], R1[0->4]
    181. R3[8->2], R2[2->4], R1[4->0]
    182. R3[8->2], R2[2->4], R1[4->2]
    183. R3[8->2], R2[2->4], R1[4->4]
    184. R3[8->4], R2[4->0], R1[0->0]
